algorithm_name,size,keep_pct=0.3,keep_pct=0.6,keep_pct=0.9
mimic,100,8.0,13.0,20.0
mimic,100,8.0,16.0,23.0
mimic,100,13.0,21.0,30.0
mimic,100,13.0,22.0,31.0
mimic,100,14.0,23.0,32.0
mimic,100,17.0,27.0,36.0
mimic,100,17.0,27.0,36.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
mimic,100,17.0,27.0,41.0
