algorithm_name,size,ce=0.3,ce=0.6,ce=0.9
simulated_annealing,100,2.0,2.0,2.0
simulated_annealing,100,2.0,2.0,2.0
simulated_annealing,100,2.0,2.0,2.0
simulated_annealing,100,2.0,2.0,2.0
simulated_annealing,100,2.0,3.0,3.0
simulated_annealing,100,2.0,3.0,3.0
simulated_annealing,100,2.0,3.0,3.0
simulated_annealing,100,2.0,3.0,3.0
simulated_annealing,100,2.0,3.0,3.0
simulated_annealing,100,2.0,3.0,3.0
simulated_annealing,100,2.0,3.0,3.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,8.0
simulated_annealing,100,6.0,8.0,9.0
simulated_annealing,100,6.0,8.0,9.0
simulated_annealing,100,7.0,9.0,10.0
simulated_annealing,100,7.0,9.0,10.0
simulated_annealing,100,7.0,9.0,10.0
simulated_annealing,100,7.0,9.0,10.0
simulated_annealing,100,7.0,9.0,10.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
simulated_annealing,100,9.0,12.0,13.0
