algorithm_name,size,default
random_hill_climb,100,6883.0
random_hill_climb,100,6884.0
random_hill_climb,100,6884.0
random_hill_climb,100,6887.0
random_hill_climb,100,6887.0
random_hill_climb,100,6887.0
random_hill_climb,100,6887.0
random_hill_climb,100,6887.0
random_hill_climb,100,6887.0
random_hill_climb,100,6904.0
random_hill_climb,100,6910.0
random_hill_climb,100,6911.0
random_hill_climb,100,6911.0
random_hill_climb,100,6911.0
random_hill_climb,100,6911.0
random_hill_climb,100,6911.0
random_hill_climb,100,6911.0
random_hill_climb,100,6915.0
random_hill_climb,100,6915.0
random_hill_climb,100,6915.0
random_hill_climb,100,6915.0
random_hill_climb,100,6920.0
random_hill_climb,100,6920.0
random_hill_climb,100,6920.0
random_hill_climb,100,6920.0
random_hill_climb,100,6921.0
random_hill_climb,100,6922.0
random_hill_climb,100,6923.0
random_hill_climb,100,6926.0
random_hill_climb,100,6926.0
random_hill_climb,100,6926.0
random_hill_climb,100,6928.0
random_hill_climb,100,6928.0
random_hill_climb,100,6933.0
random_hill_climb,100,6944.0
random_hill_climb,100,6944.0
random_hill_climb,100,6944.0
random_hill_climb,100,6944.0
random_hill_climb,100,6948.0
random_hill_climb,100,6948.0
random_hill_climb,100,6954.0
random_hill_climb,100,6954.0
random_hill_climb,100,6955.0
random_hill_climb,100,6955.0
random_hill_climb,100,6955.0
random_hill_climb,100,6955.0
random_hill_climb,100,6955.0
random_hill_climb,100,6955.0
random_hill_climb,100,6955.0
random_hill_climb,100,6955.0
random_hill_climb,100,6955.0
random_hill_climb,100,6955.0
random_hill_climb,100,6957.0
random_hill_climb,100,6957.0
random_hill_climb,100,6957.0
random_hill_climb,100,6957.0
random_hill_climb,100,6957.0
random_hill_climb,100,6957.0
random_hill_climb,100,6965.0
random_hill_climb,100,6981.0
random_hill_climb,100,6982.0
random_hill_climb,100,6982.0
random_hill_climb,100,6982.0
random_hill_climb,100,6982.0
random_hill_climb,100,6982.0
random_hill_climb,100,6982.0
random_hill_climb,100,6983.0
random_hill_climb,100,6991.0
random_hill_climb,100,6992.0
random_hill_climb,100,6992.0
random_hill_climb,100,6992.0
random_hill_climb,100,6992.0
random_hill_climb,100,6992.0
random_hill_climb,100,6992.0
random_hill_climb,100,6994.0
random_hill_climb,100,6994.0
random_hill_climb,100,6994.0
random_hill_climb,100,6994.0
random_hill_climb,100,6995.0
random_hill_climb,100,6997.0
random_hill_climb,100,6997.0
random_hill_climb,100,6997.0
random_hill_climb,100,6997.0
random_hill_climb,100,6997.0
random_hill_climb,100,6997.0
random_hill_climb,100,6997.0
random_hill_climb,100,6997.0
random_hill_climb,100,6997.0
random_hill_climb,100,6997.0
random_hill_climb,100,7001.0
random_hill_climb,100,7012.0
random_hill_climb,100,7012.0
random_hill_climb,100,7012.0
random_hill_climb,100,7012.0
random_hill_climb,100,7017.0
random_hill_climb,100,7020.0
random_hill_climb,100,7020.0
random_hill_climb,100,7020.0
random_hill_climb,100,7020.0
random_hill_climb,100,7020.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7023.0
random_hill_climb,100,7026.0
random_hill_climb,100,7026.0
random_hill_climb,100,7032.0
