algorithm_name,size,ce=0.3,ce=0.6,ce=0.9
simulated_annealing,100,5084.0,6778.0,7343.0
simulated_annealing,100,5098.0,6798.0,7364.0
simulated_annealing,100,5113.0,6817.0,7385.0
simulated_annealing,100,5145.0,6860.0,7432.0
simulated_annealing,100,5168.0,6891.0,7465.0
simulated_annealing,100,5185.0,6913.0,7486.0
simulated_annealing,100,5206.0,6942.0,7517.0
simulated_annealing,100,5218.0,6957.0,7533.0
simulated_annealing,100,5245.0,6993.0,7572.0
simulated_annealing,100,5260.0,7014.0,7593.0
simulated_annealing,100,5282.0,7042.0,7624.0
simulated_annealing,100,5288.0,7051.0,7633.0
simulated_annealing,100,5288.0,7051.0,7633.0
simulated_annealing,100,5317.0,7089.0,7677.0
simulated_annealing,100,5320.0,7094.0,7682.0
simulated_annealing,100,5324.0,7099.0,7689.0
simulated_annealing,100,5428.0,7237.0,7810.0
simulated_annealing,100,5429.0,7238.0,7811.0
simulated_annealing,100,5448.0,7264.0,7839.0
simulated_annealing,100,5515.0,7353.0,7932.0
simulated_annealing,100,5515.0,7353.0,7932.0
simulated_annealing,100,5516.0,7355.0,7934.0
simulated_annealing,100,5516.0,7355.0,7957.0
simulated_annealing,100,5530.0,7373.0,8003.0
simulated_annealing,100,5556.0,7408.0,8034.0
simulated_annealing,100,5562.0,7416.0,8056.0
simulated_annealing,100,5562.0,7416.0,8056.0
simulated_annealing,100,5584.0,7445.0,8087.0
simulated_annealing,100,5592.0,7456.0,8099.0
simulated_annealing,100,5594.0,7459.0,8102.0
simulated_annealing,100,5607.0,7476.0,8121.0
simulated_annealing,100,5616.0,7488.0,8134.0
simulated_annealing,100,5616.0,7488.0,8134.0
simulated_annealing,100,5622.0,7496.0,8142.0
simulated_annealing,100,5622.0,7496.0,8142.0
simulated_annealing,100,5622.0,7496.0,8142.0
simulated_annealing,100,5640.0,7520.0,8169.0
simulated_annealing,100,5663.0,7550.0,8188.0
simulated_annealing,100,5663.0,7550.0,8191.0
simulated_annealing,100,5713.0,7617.0,8243.0
simulated_annealing,100,5713.0,7617.0,8243.0
simulated_annealing,100,5752.0,7669.0,8311.0
simulated_annealing,100,5757.0,7676.0,8319.0
simulated_annealing,100,5787.0,7716.0,8363.0
simulated_annealing,100,5838.0,7784.0,8428.0
simulated_annealing,100,5842.0,7789.0,8433.0
simulated_annealing,100,5842.0,7789.0,8435.0
simulated_annealing,100,5842.0,7789.0,8435.0
simulated_annealing,100,5848.0,7797.0,8444.0
simulated_annealing,100,5917.0,7889.0,8544.0
simulated_annealing,100,5918.0,7891.0,8545.0
simulated_annealing,100,5918.0,7891.0,8545.0
simulated_annealing,100,5927.0,7902.0,8558.0
simulated_annealing,100,5935.0,7913.0,8570.0
simulated_annealing,100,5942.0,7923.0,8573.0
simulated_annealing,100,5942.0,7923.0,8574.0
simulated_annealing,100,5952.0,7936.0,8589.0
simulated_annealing,100,5980.0,7974.0,8645.0
simulated_annealing,100,6008.0,8010.0,8684.0
simulated_annealing,100,6008.0,8010.0,8684.0
simulated_annealing,100,6026.0,8035.0,8709.0
simulated_annealing,100,6043.0,8058.0,8734.0
simulated_annealing,100,6043.0,8058.0,8734.0
simulated_annealing,100,6050.0,8066.0,8743.0
simulated_annealing,100,6050.0,8067.0,8744.0
simulated_annealing,100,6050.0,8067.0,8744.0
simulated_annealing,100,6050.0,8067.0,8744.0
simulated_annealing,100,6060.0,8080.0,8756.0
simulated_annealing,100,6062.0,8083.0,8759.0
simulated_annealing,100,6073.0,8097.0,8788.0
simulated_annealing,100,6083.0,8111.0,8802.0
simulated_annealing,100,6083.0,8111.0,8802.0
simulated_annealing,100,6085.0,8114.0,8806.0
simulated_annealing,100,6085.0,8114.0,8806.0
simulated_annealing,100,6089.0,8119.0,8808.0
simulated_annealing,100,6099.0,8132.0,8817.0
simulated_annealing,100,6101.0,8135.0,8821.0
simulated_annealing,100,6137.0,8183.0,8876.0
simulated_annealing,100,6152.0,8202.0,8904.0
simulated_annealing,100,6152.0,8202.0,8904.0
simulated_annealing,100,6152.0,8202.0,8905.0
simulated_annealing,100,6152.0,8202.0,8905.0
simulated_annealing,100,6184.0,8245.0,8951.0
simulated_annealing,100,6197.0,8262.0,8977.0
simulated_annealing,100,6197.0,8262.0,9005.0
simulated_annealing,100,6197.0,8263.0,9006.0
simulated_annealing,100,6206.0,8274.0,9009.0
simulated_annealing,100,6206.0,8274.0,9009.0
simulated_annealing,100,6206.0,8274.0,9009.0
simulated_annealing,100,6221.0,8295.0,9032.0
simulated_annealing,100,6221.0,8295.0,9032.0
simulated_annealing,100,6243.0,8324.0,9068.0
simulated_annealing,100,6244.0,8326.0,9070.0
simulated_annealing,100,6254.0,8338.0,9083.0
simulated_annealing,100,6254.0,8338.0,9083.0
simulated_annealing,100,6255.0,8340.0,9085.0
simulated_annealing,100,6259.0,8346.0,9091.0
