algorithm_name,size,ce=0.3,ce=0.6,ce=0.9
simulated_annealing,100,63.0,84.0,91.0
simulated_annealing,100,63.0,84.0,91.0
simulated_annealing,100,63.0,84.0,91.0
simulated_annealing,100,63.0,84.0,91.0
simulated_annealing,100,63.0,84.0,91.0
simulated_annealing,100,64.0,85.0,92.0
simulated_annealing,100,64.0,86.0,93.0
simulated_annealing,100,64.0,86.0,93.0
simulated_annealing,100,64.0,86.0,93.0
simulated_annealing,100,64.0,86.0,93.0
simulated_annealing,100,64.0,86.0,93.0
simulated_annealing,100,65.0,87.0,94.0
simulated_annealing,100,66.0,88.0,95.0
simulated_annealing,100,66.0,88.0,96.0
simulated_annealing,100,67.0,89.0,97.0
simulated_annealing,100,68.0,90.0,98.0
simulated_annealing,100,68.0,90.0,98.0
simulated_annealing,100,68.0,90.0,98.0
simulated_annealing,100,68.0,90.0,98.0
simulated_annealing,100,68.0,90.0,98.0
simulated_annealing,100,68.0,90.0,98.0
simulated_annealing,100,68.0,90.0,98.0
simulated_annealing,100,68.0,91.0,99.0
simulated_annealing,100,68.0,91.0,99.0
simulated_annealing,100,68.0,91.0,99.0
simulated_annealing,100,68.0,91.0,99.0
simulated_annealing,100,68.0,91.0,99.0
simulated_annealing,100,69.0,92.0,100.0
simulated_annealing,100,70.0,93.0,101.0
simulated_annealing,100,70.0,93.0,101.0
simulated_annealing,100,70.0,93.0,101.0
simulated_annealing,100,70.0,93.0,101.0
simulated_annealing,100,70.0,93.0,101.0
simulated_annealing,100,70.0,94.0,102.0
simulated_annealing,100,70.0,94.0,102.0
simulated_annealing,100,70.0,94.0,102.0
simulated_annealing,100,70.0,94.0,102.0
simulated_annealing,100,70.0,94.0,102.0
simulated_annealing,100,70.0,94.0,102.0
simulated_annealing,100,70.0,94.0,102.0
simulated_annealing,100,71.0,95.0,103.0
simulated_annealing,100,71.0,95.0,103.0
simulated_annealing,100,71.0,95.0,103.0
simulated_annealing,100,71.0,95.0,103.0
simulated_annealing,100,71.0,95.0,103.0
simulated_annealing,100,71.0,95.0,103.0
simulated_annealing,100,71.0,95.0,103.0
simulated_annealing,100,72.0,96.0,104.0
simulated_annealing,100,72.0,96.0,104.0
simulated_annealing,100,72.0,96.0,104.0
simulated_annealing,100,72.0,96.0,104.0
simulated_annealing,100,72.0,96.0,104.0
simulated_annealing,100,73.0,97.0,105.0
simulated_annealing,100,73.0,97.0,105.0
simulated_annealing,100,74.0,98.0,106.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
