algorithm_name,size,mutation_probs=0.3,mutation_probs=0.6,mutation_probs=0.9
genetic_algorithm,100,7199.0,9554.0,10322.0
genetic_algorithm,100,7199.0,9554.0,10344.0
genetic_algorithm,100,7199.0,9554.0,10344.0
genetic_algorithm,100,7199.0,9554.0,10344.0
genetic_algorithm,100,7199.0,9557.0,10368.0
genetic_algorithm,100,7199.0,9557.0,10383.0
genetic_algorithm,100,7200.0,9557.0,10383.0
genetic_algorithm,100,7200.0,9557.0,10383.0
genetic_algorithm,100,7201.0,9558.0,10383.0
genetic_algorithm,100,7211.0,9561.0,10384.0
genetic_algorithm,100,7222.0,9568.0,10386.0
genetic_algorithm,100,7222.0,9573.0,10388.0
genetic_algorithm,100,7222.0,9573.0,10388.0
genetic_algorithm,100,7224.0,9585.0,10392.0
genetic_algorithm,100,7224.0,9585.0,10392.0
genetic_algorithm,100,7227.0,9587.0,10394.0
genetic_algorithm,100,7227.0,9587.0,10394.0
genetic_algorithm,100,7227.0,9587.0,10394.0
genetic_algorithm,100,7229.0,9588.0,10394.0
genetic_algorithm,100,7229.0,9588.0,10394.0
genetic_algorithm,100,7229.0,9588.0,10394.0
genetic_algorithm,100,7233.0,9590.0,10395.0
genetic_algorithm,100,7234.0,9590.0,10396.0
genetic_algorithm,100,7234.0,9590.0,10396.0
genetic_algorithm,100,7240.0,9592.0,10397.0
genetic_algorithm,100,7240.0,9595.0,10399.0
genetic_algorithm,100,7240.0,9601.0,10401.0
genetic_algorithm,100,7244.0,9609.0,10404.0
genetic_algorithm,100,7251.0,9611.0,10405.0
genetic_algorithm,100,7252.0,9612.0,10405.0
genetic_algorithm,100,7252.0,9616.0,10406.0
genetic_algorithm,100,7252.0,9616.0,10406.0
genetic_algorithm,100,7252.0,9616.0,10406.0
genetic_algorithm,100,7252.0,9616.0,10406.0
genetic_algorithm,100,7252.0,9632.0,10415.0
genetic_algorithm,100,7259.0,9635.0,10416.0
genetic_algorithm,100,7259.0,9635.0,10416.0
genetic_algorithm,100,7260.0,9635.0,10416.0
genetic_algorithm,100,7260.0,9641.0,10418.0
genetic_algorithm,100,7260.0,9641.0,10418.0
genetic_algorithm,100,7263.0,9645.0,10420.0
genetic_algorithm,100,7263.0,9645.0,10423.0
genetic_algorithm,100,7268.0,9661.0,10444.0
genetic_algorithm,100,7268.0,9661.0,10444.0
genetic_algorithm,100,7268.0,9661.0,10444.0
genetic_algorithm,100,7276.0,9664.0,10446.0
genetic_algorithm,100,7279.0,9665.0,10454.0
genetic_algorithm,100,7279.0,9668.0,10458.0
genetic_algorithm,100,7279.0,9668.0,10458.0
genetic_algorithm,100,7279.0,9672.0,10460.0
genetic_algorithm,100,7281.0,9673.0,10460.0
genetic_algorithm,100,7281.0,9673.0,10460.0
genetic_algorithm,100,7281.0,9684.0,10464.0
genetic_algorithm,100,7286.0,9688.0,10465.0
genetic_algorithm,100,7288.0,9698.0,10468.0
genetic_algorithm,100,7288.0,9702.0,10470.0
genetic_algorithm,100,7288.0,9702.0,10470.0
genetic_algorithm,100,7289.0,9702.0,10473.0
genetic_algorithm,100,7289.0,9705.0,10474.0
genetic_algorithm,100,7295.0,9707.0,10474.0
genetic_algorithm,100,7295.0,9707.0,10474.0
