algorithm_name,size,mutation_probs=0.3,mutation_probs=0.6,mutation_probs=0.9
genetic_algorithm,100,44.0,75.0,93.0
genetic_algorithm,100,44.0,75.0,93.0
genetic_algorithm,100,44.0,75.0,93.0
genetic_algorithm,100,44.0,75.0,95.0
genetic_algorithm,100,44.0,75.0,95.0
genetic_algorithm,100,45.0,76.0,97.0
genetic_algorithm,100,45.0,76.0,97.0
genetic_algorithm,100,45.0,76.0,98.0
genetic_algorithm,100,45.0,76.0,98.0
genetic_algorithm,100,46.0,77.0,98.0
genetic_algorithm,100,47.0,77.0,98.0
genetic_algorithm,100,47.0,77.0,98.0
genetic_algorithm,100,47.0,77.0,98.0
genetic_algorithm,100,47.0,77.0,99.0
genetic_algorithm,100,48.0,78.0,99.0
genetic_algorithm,100,48.0,79.0,99.0
genetic_algorithm,100,48.0,80.0,100.0
genetic_algorithm,100,48.0,80.0,100.0
genetic_algorithm,100,49.0,81.0,100.0
genetic_algorithm,100,49.0,81.0,100.0
genetic_algorithm,100,49.0,81.0,100.0
genetic_algorithm,100,49.0,81.0,100.0
genetic_algorithm,100,49.0,81.0,100.0
genetic_algorithm,100,49.0,81.0,100.0
genetic_algorithm,100,49.0,81.0,100.0
genetic_algorithm,100,49.0,81.0,101.0
genetic_algorithm,100,49.0,81.0,101.0
genetic_algorithm,100,50.0,82.0,103.0
genetic_algorithm,100,50.0,82.0,103.0
genetic_algorithm,100,50.0,82.0,103.0
genetic_algorithm,100,50.0,82.0,103.0
genetic_algorithm,100,50.0,82.0,103.0
genetic_algorithm,100,50.0,82.0,104.0
genetic_algorithm,100,50.0,82.0,105.0
genetic_algorithm,100,50.0,82.0,105.0
genetic_algorithm,100,50.0,82.0,105.0
genetic_algorithm,100,50.0,82.0,105.0
genetic_algorithm,100,50.0,83.0,105.0
genetic_algorithm,100,50.0,83.0,106.0
genetic_algorithm,100,50.0,84.0,107.0
genetic_algorithm,100,51.0,84.0,107.0
genetic_algorithm,100,53.0,86.0,108.0
genetic_algorithm,100,53.0,86.0,108.0
genetic_algorithm,100,53.0,87.0,109.0
genetic_algorithm,100,53.0,87.0,109.0
genetic_algorithm,100,53.0,87.0,109.0
genetic_algorithm,100,53.0,88.0,109.0
genetic_algorithm,100,53.0,88.0,109.0
genetic_algorithm,100,53.0,92.0,111.0
